step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
1,0.6687706708908081,0.8523290157318115,,,,,,,,2025-09-29T15:29:38.1090000Z
2,0.7395750880241394,0.8358209133148193,,,,,,,,2025-09-29T15:29:42.2830000Z
3,0.6701415181159973,0.8643215894699097,,,,,,,,2025-09-29T15:29:46.1670000Z
4,0.7400211095809937,0.8470588326454163,,,,,,,,2025-09-29T15:29:52.4560000Z
5,0.6868472099304199,0.8550724387168884,,,,,,,,2025-09-29T15:29:56.6430000Z
6,0.62277752161026,0.8667334914207458,,,,,,,,2025-09-29T15:30:05.9340000Z
7,0.6987985968589783,0.8463982939720154,,,,,,,,2025-09-29T15:30:10.1270000Z
8,0.6659759283065796,0.8482353091239929,,,,,,,,2025-09-29T15:30:14.0520000Z
9,0.7145313024520874,0.8391203880310059,,,,,,,,2025-09-29T15:30:17.9590000Z
10,0.6725518107414246,0.8511066436767578,,,,,,,,2025-09-29T15:30:19.1710000Z
11,0.6404971480369568,0.8584686517715454,,,,,,,,2025-09-29T15:30:20.3600000Z
12,0.6462081670761108,0.8697317838668823,,,,,,,,2025-09-29T15:30:28.7540000Z
13,0.6387555003166199,0.863198459148407,,,,,,,,2025-09-29T15:30:32.9490000Z
14,0.6863075494766235,0.8644470572471619,,,,,,,,2025-09-29T15:30:36.8380000Z
15,0.6118313670158386,0.8546132445335388,,,,,,,,2025-09-29T15:30:41.0300000Z
16,0.6608089804649353,0.8548728823661804,,,,,,,,2025-09-29T15:30:44.9230000Z
17,0.6294501423835754,0.8557894825935364,,,,,,,,2025-09-29T15:30:46.1210000Z
18,0.6373507976531982,0.8556700944900513,,,,,,,,2025-09-29T15:30:50.0110000Z
19,0.5849364399909973,0.8716683387756348,,,,,,,,2025-09-29T15:30:58.7150000Z
20,0.6100581884384155,0.8747433423995972,,,,,,,,2025-09-29T15:31:02.6070000Z
21,0.6128191351890564,0.846076488494873,,,,,,,,2025-09-29T15:31:06.8000000Z
22,0.6546657085418701,0.8383297920227051,,,,,,,,2025-09-29T15:31:10.9830000Z
23,0.5708504915237427,0.8599033951759338,,,,,,,,2025-09-29T15:31:22.6840000Z
24,0.6818547248840332,0.8382838368415833,,,,,,,,2025-09-29T15:31:28.6880000Z
25,0.6266987323760986,0.8450704216957092,,,,,,,,2025-09-29T15:31:32.5860000Z
26,0.5820061564445496,0.8558456301689148,,,,,,,,2025-09-29T15:31:33.7880000Z
27,0.4954491853713989,0.8821782469749451,,,,,,,,2025-09-29T15:31:37.6800000Z
28,0.5134442448616028,0.8763493895530701,,,,,,,,2025-09-29T15:31:41.5800000Z
29,0.5411171913146973,0.8659340739250183,,,,,,,,2025-09-29T15:31:45.7790000Z
30,0.45955854654312134,0.8908554315567017,,,,,,,,2025-09-29T15:31:47.2710000Z
31,0.48396557569503784,0.8865069150924683,,,,,,,,2025-09-29T15:31:58.6720000Z
32,0.5792669057846069,0.8455790877342224,,,,,,,,2025-09-29T15:32:02.5620000Z
33,0.3897210359573364,0.903418779373169,,,,,,,,2025-09-29T15:32:06.4510000Z
34,0.5976038575172424,0.8383233547210693,,,,,,,,2025-09-29T15:32:11.2490000Z
35,0.5523148775100708,0.8682634830474854,,,,,,,,2025-09-29T15:32:15.4370000Z
36,0.44484689831733704,0.8835546374320984,,,,,,,,2025-09-29T15:32:19.3370000Z
37,0.45057544112205505,0.8868868947029114,,,,,,,,2025-09-29T15:32:20.5260000Z
38,0.49630528688430786,0.8803317546844482,,,,,,,,2025-09-29T15:32:24.7230000Z
39,0.3780413568019867,0.8976169228553772,,,,,,,,2025-09-29T15:32:28.6190000Z
40,0.5098683834075928,0.8645083904266357,,,,,,,,2025-09-29T15:32:32.5140000Z
41,0.42787763476371765,0.887135922908783,,,,,,,,2025-09-29T15:32:36.7200000Z
42,0.4955252707004547,0.8747474551200867,,,,,,,,2025-09-29T15:32:37.9200000Z
43,0.4397301971912384,0.8817689418792725,,,,,,,,2025-09-29T15:32:39.4150000Z
